Процент_пропусков;Среднее_эталон;Dropna;Dropna_ошибка%;Ffill;Ffill_ошибка%;Linreg;Linreg_ошибка%
3;4007.25;4007.35;0.0;4008.87;0.04;4007.35;0.0
5;4007.25;4006.09;0.03;4007.65;0.01;4006.09;0.03
10;4007.25;4005.94;0.03;4006.09;0.03;4005.94;0.03
20;4007.25;4008.26;0.03;4013.94;0.17;4008.27;0.03
30;4007.25;4007.09;0.0;4016.83;0.24;4007.11;0.0
