Процент_пропусков;Мода_эталон;Dropna_мода;Dropna_ошибка;Ffill_мода;Ffill_ошибка;Mode_мода;Mode_ошибка
3;Эпидемиолог;Эпидемиолог;0;Сексопатолог;1;Эпидемиолог;0
5;Эпидемиолог;Эпидемиолог;0;Эпидемиолог;0;Эпидемиолог;0
10;Эпидемиолог;Эпидемиолог;0;Эпидемиолог;0;Эпидемиолог;0
20;Эпидемиолог;Ортопед;1;Ортопед;1;Ортопед;1
30;Эпидемиолог;Эпидемиолог;0;Эпидемиолог;0;Эпидемиолог;0
