Процент_пропусков;Мода_эталон;Dropna_мода;Dropna_ошибка;Ffill_мода;Ffill_ошибка;Mode_мода;Mode_ошибка
3;Трансплантолог;Уролог;1;Трансплантолог;0;Уролог;1
5;Трансплантолог;Уролог;1;Уролог;1;Уролог;1
10;Трансплантолог;Трансплантолог;0;Онколог;1;Трансплантолог;0
20;Трансплантолог;Уролог;1;Трансплантолог;0;Уролог;1
30;Трансплантолог;Флеболог;1;Флеболог;1;Флеболог;1
