Процент_пропусков;Мода_эталон;Dropna_мода;Dropna_ошибка;Ffill_мода;Ffill_ошибка;Mode_мода;Mode_ошибка
3;МИР;МИР;0;МИР;0;МИР;0
5;МИР;МИР;0;МИР;0;МИР;0
10;МИР;МИР;0;МИР;0;МИР;0
20;МИР;МИР;0;МИР;0;МИР;0
30;МИР;МИР;0;МИР;0;МИР;0
