Процент_пропусков;Мода_эталон;Dropna_мода;Dropna_ошибка;Ffill_мода;Ffill_ошибка;Mode_мода;Mode_ошибка
3;['Боль в суставах'];['Боль в суставах'];0;['Боль в суставах'];0;['Боль в суставах'];0
5;['Боль в суставах'];['Боль в суставах'];0;['Боль в суставах'];0;['Боль в суставах'];0
10;['Боль в суставах'];['Боль в суставах'];0;['Боль в суставах'];0;['Боль в суставах'];0
20;['Боль в суставах'];['Боль в суставах'];0;['Боль в суставах'];0;['Боль в суставах'];0
30;['Боль в суставах'];['Боль в суставах'];0;['Боль в суставах'];0;['Боль в суставах'];0
