Процент_пропусков;Мода_эталон;Dropna_мода;Dropna_ошибка;Ffill_мода;Ffill_ошибка;Mode_мода;Mode_ошибка
3;Сбер;Сбер;0;Сбер;0;Сбер;0
5;Сбер;Сбер;0;Сбер;0;Сбер;0
10;Сбер;Сбер;0;Сбер;0;Сбер;0
20;Сбер;Сбер;0;Сбер;0;Сбер;0
30;Сбер;Сбер;0;Сбер;0;Сбер;0
