Процент_пропусков;Среднее_эталон;Dropna;Dropna_ошибка%;Ffill;Ffill_ошибка%;Linreg;Linreg_ошибка%
3;4056.45;4062.53;0.15;4073.75;0.43;4061.44;0.12
5;4056.45;4052.37;0.1;4037.6;0.46;4052.38;0.1
10;4056.45;4045.44;0.27;4030.55;0.64;4044.68;0.29
20;4056.45;4066.75;0.25;4101.4;1.11;4066.0;0.24
30;4056.45;4065.5;0.22;4030.46;0.64;4064.84;0.21
